"","Babacomari.Series","Chihuahuan.Series","Chuska.White.Ware","Cibola.White.Ware","Early.White.Mountain.Red.Ware","Hopi.White.Ware","Jornada.Mogollon.Brown.Ware","Little.Colorado.White.Ware","Lower.Colorado.Buff.Ware","Mesa.Verde.White.Ware","Middle.Gila.Buff.Ware.and.Gray.Ware","Mogollon.Brown.Ware","Prescott.Gray.Ware","Rio.Grande.White.Ware","Salado.Series","Tizon.Brown.Ware","Tsegi.Orange.Ware","Tucson.Basin.Brown.Ware","Tusayan.White.Ware"
"Horse Camp Mill",0,0,0,2454.56,402.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hinkson Ranch",0,0,0,3358.29,740.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eagle Crag",0,0,0,0.38,0.72,0,0,7.6,0,0,0,0,0,0,0,0,0.48,0,7.96
"Wide Reed Ruin",0,0,0,39.04,311.14,0,0,2.33,0,20.12,0,0,0,0,0,0,17.08,0,4.72
"Hogay Ruin",0,0,0,5.1,13.15,0,0,16,0,0.51,0,0,0,0,0,0,3.74,0,66.63
"Kinlichee",0,0,0,0,4,0,0,0.24,0,0,0,0,0,0,0,0,0,0,1.83
"Cornfields",0,0,0.77,43.08,131.98,0,0,19.04,0,0,0,0,0,0,0,0,2.4,0,16.26
"Dinwiddie",0,2.34,0,0,0,0,112.41,0,0,0,0,0,0,0,0,0,0,0,0
"Lululongturqi",0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,29.55
"Abangkuyivi",0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,3.62
"Hubble Corner",0,0,0,331.79,244.96,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0
"Owens-Colvin",0,0,0,6.32,1.54,0,0,0,0,0,19.54,9.15,0,0,0,0,0,0,0
"Rocky Point",0,0,0,50.63,45.48,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0.36
"Schoolhouse Point Mound",0,0,0,1338.77,51.06,0,0,184,0,0,16.07,685.15,0,0,64.4,0,0,11.03,2.78
"Roundy Ruin",0,0,0,1436.46,17.51,0,0,93.95,0,0,0,691.67,0,0,0,0,0,0,2.51
"Bean Patch",0,0,0,17.52,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
